date,value
2003-12-01,133485.86000000004
2004-01-01,726798.55
2004-02-01,26525.52
2004-03-01,36155.340000000004
2004-04-01,24918.93
2004-05-01,550197.0000000005
2004-06-01,96320.95
2004-07-01,23625.58
2004-08-01,39194.13
2004-09-01,19726.14
2004-10-01,34008.3
2004-11-01,13430.17
2004-12-01,35811.13
2005-01-01,10211.7
2005-02-01,22848.63
2005-03-01,35962.2
2005-04-01,33958.549999999996
2005-05-01,17008.39
2005-06-01,28296.699999999997
2005-07-01,38438.54
2005-08-01,28592.729999999996
2005-09-01,16611.620000000003
2005-10-01,17251.120000000003
2005-11-01,37220.950000000004
2005-12-01,34052.1
2006-01-01,42890.69
2006-02-01,43482.45999999999
2006-03-01,52889.659999999996
2006-04-01,27267.060000000005
2006-05-01,55184.59
2006-06-01,26527.369999999995
2006-07-01,41304.36
2006-08-01,23150.79
2006-09-01,60406.539999999986
2006-10-01,51372.96
2006-11-01,46522.45
2006-12-01,22897.33
2007-01-01,46328.409999999996
2007-02-01,32840.39
2007-03-01,43156.32
2007-04-01,29159.1
2007-05-01,40523.27
2007-06-01,45848.6
2007-07-01,72625.11
2007-08-01,67375.43
2007-09-01,49362.47
2007-10-01,39100.96
2007-11-01,73383.2
2007-12-01,49793.6
2008-01-01,42891.030000000006
2008-02-01,49834.31999999999
2008-03-01,51555.21999999999
2008-04-01,39977.66
2008-05-01,24022.23
2008-06-01,40601.49
2008-07-01,52076.55
2008-08-01,41021.33
2008-09-01,76176.32
2008-10-01,58630.48999999999
2008-11-01,91231.17
2008-12-01,53196.91
2009-01-01,61527.380000000005
2009-02-01,25929.569999999996
2009-03-01,62862.009999999995
2009-04-01,81905.79000000001
2009-05-01,40114.659999999996
2009-06-01,76298.70000000001
2009-07-01,48857.78
2009-08-01,75791.38
2009-09-01,65460.200000000004
2009-10-01,51503.17
2009-11-01,42857.79
2009-12-01,35289.93
2010-01-01,49841.06000000001
2010-02-01,56270.71999999999
2010-03-01,75798.98999999999
2010-04-01,83282.11
2010-05-01,61483.28999999999
2010-06-01,42509.42
2010-07-01,77445.67999999998
2010-08-01,34437.95999999999
2010-09-01,32109.629999999997
2010-10-01,69176.69
2010-11-01,52036.46
2010-12-01,56813.829999999994
2011-01-01,71309.82
2011-02-01,64943.479999999996
2011-03-01,68408.93000000001
2011-04-01,37866.899999999994
2011-05-01,39239.87
2011-06-01,40284.7
2011-07-01,75624.93
2011-08-01,74001.42000000001
2011-09-01,61261.58
2011-10-01,52365.82
2011-11-01,48059.05
2011-12-01,47888.94
2012-01-01,71432.83
2012-02-01,35596.14
2012-03-01,68561.82999999999
2012-04-01,58265.659999999996
2012-05-01,72110.46
2012-06-01,89314.48000000004
2012-07-01,38704.27
2012-08-01,81756.01999999999
2012-09-01,43463.549999999996
2012-10-01,63609.44999999999
2012-11-01,63083.509999999995
2012-12-01,64330.15000000001
2013-01-01,50811.170000000006
2013-02-01,91395.02000000002
2013-03-01,61809.90000000001
2013-04-01,41514.88999999999
2013-05-01,54295.310000000005
2013-06-01,22628.449999999997
2013-07-01,38306.29
2013-08-01,63676.939999999995
2013-09-01,71038.92000000001
2013-10-01,36657.340000000004
2013-11-01,69321.26000000001
2013-12-01,45347.850000000006
2014-01-01,58939.01
2014-02-01,57051.270000000004
2014-03-01,53828.979999999996
2014-04-01,67676.23999999999
2014-05-01,55077.67999999999
2014-06-01,61419.130000000005
2014-07-01,51941.689999999995
2014-08-01,68230.52
2014-09-01,33050.600000000006
2014-10-01,75022.98
2014-11-01,40889.99
2014-12-01,84341.37000000001
2015-01-01,79463.28000000003
2015-02-01,50201.359999999986
2015-03-01,58980.409999999996
2015-04-01,67740.66999999998
2015-05-01,69940.4
2015-06-01,70523.63999999998
2015-07-01,34441.31
2015-08-01,80876.93999999999
2015-09-01,73792.98999999999
2015-10-01,48451.88999999999
2015-11-01,60205.96000000001
2015-12-01,73122.98999999999
2016-01-01,66627.73
2016-02-01,77222.08
2016-03-01,54899.06999999999
2016-04-01,70275.96
2016-05-01,69477.48
2016-06-01,64773.319999999985
2016-07-01,75442.59999999999
2016-08-01,59498.75000000001
2016-09-01,81284.23999999999
2016-10-01,84975.17
2016-11-01,73346.65999999999
2016-12-01,61100.829999999994
2017-01-01,103103.70000000001
2017-02-01,75663.70999999999
2017-03-01,111303.74999999999
2017-04-01,109912.15
2017-05-01,74222.72
2017-06-01,91274.95
2017-07-01,91011.15999999997
2017-08-01,90317.65000000001
2017-09-01,71107.31
2017-10-01,86975.50000000001
2017-11-01,53130.17999999999
2017-12-01,56399.50999999999
2018-01-01,73367.26999999999
2018-02-01,64105.08
2018-03-01,57859.01
2018-04-01,83686.78
2018-05-01,74564.05999999998
2018-06-01,66098.90999999999
2018-07-01,69599.85
2018-08-01,69919.41
2018-09-01,56712.539999999986
2018-10-01,94067.97000000002
2018-11-01,106044.93000000002
2018-12-01,91761.38999999998
2019-01-01,84922.03000000001
2019-02-01,52863.07
2019-03-01,69361.23999999999
2019-04-01,77154.22
2019-05-01,79360.31000000001
2019-06-01,80777.76999999999
2019-07-01,76972.63
2019-08-01,95735.65999999999
2019-09-01,61648.52999999999
2019-10-01,71542.12000000002
2019-11-01,429059.1400000001
2019-12-01,3111.91
2020-05-01,11196.17
